x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,x_31,x_32,x_33,x_34,x_35,x_36,x_37,x_38,x_39,x_40,x_41,x_42,x_43,x_44,x_45,x_46,x_47,x_48,x_49,x_50,x_51,x_52,x_53,x_54,x_55,x_56,x_57,x_58,x_59,x_60,x_61,x_62,x_63,x_64,x_65,x_66,x_67,x_68,x_69,x_70,x_71,x_72,x_73,x_74,x_75,x_76,x_77,x_78,x_79
-1.0863193,-1.669032,-0.30424255,-0.9826091,-2.0994096,1.8592212,-1.2588493,0.6071319,1.1490208,-0.3818672,-1.0224601,0.04472834,-0.97971153,-0.8830779,-0.49671927,-1.2001375,-1.0387527,-1.3539764,-0.35333198,-1.3240539,-1.241191,0.8703832,0.10374313,0.47642532,0.9130185,0.030478168,-0.40632576,-0.59455395,-0.50519526,-0.8284158,-0.12582341,-0.4747336,-1.0661842,-1.2481977,0.036445774,-1.103256,-0.9570495,0.6972255,-0.22765055,0.46393704,1.0750463,-0.044482823,-0.1582969,-0.007006571,-0.6988534,-0.29225272,-0.013324136,-0.7131061,-0.7970718,-1.0350946,0.33109218,-0.845888,-0.9917166,0.61514264,-0.2063106,0.52006644,0.8656073,-0.092066765,-0.45477688,-0.10146091,-0.9115185,-0.44865185,0.11521239,-0.14599362,-0.8323282,-0.9078434,-0.0632262,-0.64483786,-1.0577466,0.5259233,-0.28072268,0.56353503,0.9452535,-0.13892429,-0.29111278,0.117856145,-0.8492955,-0.42541176,0.08123568,-0.38135794
0.18023476,-0.3957058,-1.2524893,0.6368916,-0.67634594,-0.016751943,-0.3525343,-0.41034356,0.5661322,0.07649304,-0.60677654,0.976693,-0.52018934,-0.4866222,-0.09906358,-0.93233216,-0.0047333874,-0.1783816,-0.8805422,-0.07774888,-0.571978,-0.44036132,0.18847102,-0.22582397,0.5103967,0.5832715,-0.7679464,0.37760305,-1.0143664,-0.5537205,-0.7661613,-0.678048,-0.39221254,-0.5077297,-0.7146515,0.11966796,-0.51659214,-0.18625438,-0.18421742,-0.08851263,0.52709854,0.42902398,-0.16261947,0.5905116,-0.47642195,-0.3717076,-0.33655065,-1.0113716,-0.32866183,-0.7017565,-0.35311776,-0.006065188,-0.47963926,-0.2850972,-0.04039564,-0.08516785,0.78187037,0.43827295,-0.28425527,0.5245403,-0.45008913,-0.42830038,-0.19845508,-0.80902326,-0.3043241,-0.67715037,-0.50261027,0.099378526,-0.35229716,-0.34558737,0.018233474,-0.29049274,0.6518278,0.34478405,-0.27642888,0.4970139,-0.3418327,-0.51756275,-0.13003597,-0.7980796
0.7743737,-1.4617846,-0.76612604,0.33255267,-0.8580461,-0.71414274,-0.49412015,-0.4646833,0.7890608,0.2373693,-0.44556347,1.1052393,-0.8529595,-0.5307129,-0.54951483,-0.7882615,0.2713582,-1.2904861,-0.76970387,0.044875707,-0.7639726,-0.65147835,-0.16483943,-0.74350846,0.65732133,0.4517139,-0.63771254,0.1992166,-0.6931469,-0.9126876,-0.51635677,-0.30610713,0.17006527,-0.8736912,-0.7570059,-0.12781009,-0.4150043,-0.7470374,-0.37392074,-0.25717494,0.86457,0.57508236,0.047661155,0.24784647,-0.7573869,-0.52219504,-0.44337443,-0.93333125,0.039928485,-0.7112235,-0.48895842,-0.014887915,-0.72554445,-0.4772601,-0.092926785,-0.3249953,0.92901576,0.5555545,-0.5664394,0.41599023,-0.72320986,-0.51668704,-0.10570109,-0.6085976,-0.24106084,-0.852648,-0.7682243,-0.06125174,-0.61252695,-0.549737,-0.110491104,-0.19796877,0.5600547,0.45548198,-0.5744123,0.5269555,-0.46253043,-0.43224192,-0.24722722,-0.83047587
-0.9685084,-0.821887,0.05049439,2.0852723,0.8799143,0.47060612,1.1448908,1.8647488,0.97639495,1.2865813,-1.7016884,-0.6789324,-1.1992828,-2.2961905,-0.3632514,-0.6033541,-1.4511015,-0.3420136,0.24464348,1.4549826,0.7596822,-0.1617327,0.31012434,0.77665454,1.3026069,-0.2528284,-0.9117698,-0.42389303,-0.34225124,-1.3958976,-1.0807996,-1.4291947,-0.5261164,-0.49365696,-0.48622477,1.7777772,1.0230442,0.8420006,0.15998912,0.7074972,0.7934942,-0.11705081,-0.44381315,0.52676284,-0.8798071,-0.9909853,-1.1652553,-1.4324604,-0.5221168,-1.3006561,-0.5007485,0.7691474,1.1852984,0.120401524,-0.12585664,0.9167286,0.9496743,-0.26010752,-0.042409908,0.0926456,-0.51631373,-0.9448161,-1.3245519,-1.304167,-0.52742,-0.6224767,-0.45407552,1.145622,0.890736,0.36423564,0.053207878,-0.21012112,1.4540004,-0.41725016,-0.16159914,0.17129974,-0.60830694,-1.3325217,-1.0869354,-1.2917432
0.13989922,-0.7957489,-1.4031866,-0.16451332,-0.17457975,-0.7004437,-0.45653877,-0.07616249,1.36487,0.11184509,0.554863,0.8143441,-0.35795343,-1.6229968,0.6858865,-1.0631336,0.19959748,-0.17014645,-0.31610334,-0.8019789,-0.29587477,-1.1289515,-0.12631908,-0.050305508,1.216274,0.2041072,0.23686205,0.888429,-1.3954381,-1.3922936,-0.75949883,-0.7287425,0.14033587,0.11198873,-0.6491194,-0.8651454,-0.69859797,-0.7202991,-0.67307925,0.23334359,1.0220988,0.98138493,-0.023288094,1.3096054,-0.9128307,-1.0668625,0.06295211,-0.89832336,-0.047650877,-0.23178425,0.08437349,-0.6194715,-0.6598626,-1.2632344,-0.15853336,-0.42769724,1.2262752,0.36119288,-0.5101215,1.3341181,-0.8717549,-0.681796,0.18997556,-0.7274584,0.15170294,-0.36944827,-0.7641712,-0.41225055,-0.7266029,-0.7715348,-0.37577426,0.16968162,0.71685064,0.84616804,-0.76792103,1.1302687,-0.52246547,-0.68807226,0.23204112,-0.78494316
0.6088735,-0.8975073,-0.02630339,0.27875286,0.998402,0.15722434,0.08930785,-0.29874468,0.9835466,-1.6514372,-0.635208,0.66879755,-1.5815134,-0.73321986,1.1034777,-0.5483522,0.74401855,-1.005183,0.04890237,0.17676768,1.0376586,0.31888345,-0.14943124,-0.053925518,0.85006183,-1.2443533,-0.64835966,0.32312402,-1.5061414,-1.2165978,1.018436,-0.52217,0.64210695,-0.7643835,0.034317873,0.097887866,0.75388724,0.121601135,-0.0021165495,0.063693896,0.45997202,-1.0321755,-1.1767571,-0.016159197,-1.8210338,-1.1448739,0.68224674,-0.37143013,0.6099083,-0.80260426,0.02993289,0.12805922,0.8028553,0.16743366,-0.44472554,0.21585472,0.14979331,-0.76130944,-1.4751651,-0.0774752,-1.5498035,-1.3580631,0.76878303,-0.18675065,0.61758655,-0.5736798,-0.018351495,-0.12788253,0.43312198,0.14868066,-0.3846545,0.1091888,0.1360407,-1.0257468,-1.4763505,-0.1254828,-1.5699347,-1.4344727,0.57361686,-0.17803667
-0.050695408,-2.0679097,0.1932285,1.0430366,0.6857203,-0.6128244,1.0174004,0.17335412,-0.7603314,-1.1137797,-0.5347913,-0.22317056,-0.09492809,-0.90493596,1.4635292,-1.2405777,0.36013082,-1.5518277,0.22046846,0.57638437,0.37425685,-1.281876,1.36461,0.20229843,-0.73416716,-0.5880869,-1.1795527,-0.34276146,-0.64441305,-0.66593385,1.9315366,-1.3517334,0.35921502,-1.3690885,0.09070754,0.5125973,0.5086686,-0.58954746,1.1359438,0.22848107,-0.8105787,-0.7424359,-0.9099169,0.40299797,-0.29845986,-1.1227409,1.777988,-1.7597557,0.3343113,-1.7874445,0.024035057,0.6680428,0.66023374,-1.0046394,0.7873728,0.11146758,-0.909191,-0.9040883,-1.326744,0.17181334,-0.42404705,-0.89738786,1.6801527,-1.2377778,0.58543414,-1.4311988,-0.033453505,0.4302559,0.8073046,-0.01570718,0.65381664,0.4576664,-1.117355,-0.9458036,-0.94061846,0.15573771,-0.6653192,-1.0079771,1.4751235,-1.5094568
1.1633941,-1.989239,-0.85713553,0.6931187,-1.033177,0.82449186,1.2177588,-0.71738344,0.39405048,0.09014463,0.30884796,1.4406655,-0.7595279,-0.12702902,0.65505993,-1.322465,1.3575326,-1.4804231,-0.87209076,0.34332755,3.0801595e-05,-0.1843775,1.0879762,-1.0663185,0.63974047,0.057907224,0.76664436,0.8819354,-1.088902,-0.5905301,-0.63883394,-1.7756253,1.1164501,-1.3731865,-0.9794805,0.059487574,-0.26473144,0.49213144,1.073099,-0.045262776,1.0347655,0.4826813,0.6988108,1.1096011,-0.630789,-0.75924855,-0.006854158,-0.87503576,0.94754255,-1.5989658,-0.2656342,0.5668391,-0.8654831,-0.063652635,0.76476145,-0.34355745,1.0472635,0.07278055,0.7127154,1.0506011,-0.84574294,-0.49067992,0.17719936,-1.1265035,0.9632407,-1.3681345,-1.0469515,0.25278208,-0.6864874,0.17069559,0.9407735,0.06029191,0.60085624,0.6636246,0.5856493,1.0148712,-0.72785884,-0.6985437,0.22170372,-0.78788
0.009305076,-0.77254987,0.79461324,0.30613345,-1.4279932,0.09856542,0.13781726,0.3275705,0.44141206,1.6997707,-1.2570655,0.3885598,-2.4331636,1.7949649,1.0066379,-2.3948157,1.1233256,-0.5754707,0.5913369,-0.50490266,-1.3264626,0.578281,0.22801664,-0.9974436,1.1160835,0.8327918,-1.1141212,-0.18467751,-1.7479768,1.0060582,0.74740255,-1.8524513,0.32227835,-0.55578494,0.917071,0.24790223,-0.7804094,0.22190027,-0.17033646,-0.6849472,0.048736513,1.5914712,-0.35427,0.78346246,-2.0921144,0.2859664,0.2808863,-1.0316721,0.5281985,-0.93552387,1.1438144,0.07114069,-0.08401082,0.4373796,0.04304755,-0.5067849,-0.061237566,1.0070046,-0.5261408,0.13550262,-1.8544273,0.36259747,-0.04892924,-1.1412724,0.59984183,-0.7974337,0.62331796,0.24420549,-0.52607214,0.5410214,-0.395151,-0.39943156,-0.20074993,1.1480002,-0.5183397,0.49671677,-1.8149028,0.012250789,0.004242174,-0.82868177
-0.69417053,0.26447958,-0.9554271,-0.20062412,0.08110023,-0.28548574,-0.45514685,-0.48448148,0.74181885,0.3348974,-0.71124536,1.1821111,-1.232889,-0.113715835,-0.17804547,-2.1607115,-0.73618346,-0.4190819,-0.41735226,-0.079405025,-0.593158,0.012811622,0.18805295,-0.42131728,0.88579005,0.78673834,-0.5398207,0.86213,-0.6522541,-0.2640299,-0.27181554,-1.1471702,-0.82689047,-0.4486054,-0.666524,0.10274368,-0.6292338,0.15041567,-0.020936413,-0.33895227,0.6699748,0.6685928,-0.16721237,0.76411384,-0.6910258,-0.35398915,-0.29320917,-1.029496,-0.58103484,-0.68890685,-0.21101029,-0.25537917,-0.5094304,0.10888367,0.025502808,-0.05521074,0.77500975,0.5162335,-0.24649559,0.7877603,-0.57595164,-0.36115652,-0.24368921,-0.99305326,-0.52903074,-0.4619375,-0.37957144,-0.04670963,-0.5170092,-0.05073671,0.11897759,-0.34376645,0.7330944,0.5386021,-0.3062101,0.64793634,-0.58948505,-0.46797162,0.07646685,-0.81944084
